Country,Year,Amount,Field
South Africa,2011,477.46200949540133,Education
Turkey,2011,,Education
China,2011,,Education
Argentina,2011,679.7858638641803,Education
Saudi Arabia,2011,,Education
Australia,2012,3317.3945320732932,Education
Canada,2012,,Education
France,2012,2230.2954970063834,Education
Germany,2012,2163.6690104339286,Education
Italy,2012,1431.5544636418442,Education
Japan,2012,1794.5667269489788,Education
South Korea,2012,,Education
Mexico,2012,522.6456172494761,Education
United Kingdom,2012,,Education
United States,2012,,Education
Brazil,2012,724.277286976058,Education
India,2012,55.84204079917449,Education
Indonesia,2012,125.88420146626385,Education
Russia,2012,584.928710836933,Education
South Africa,2012,477.9666620855111,Education
Turkey,2012,,Education
China,2012,,Education
Argentina,2012,699.3769943157256,Education
Saudi Arabia,2012,,Education
Australia,2013,3569.7094218351244,Education
Canada,2013,,Education
France,2013,2342.730635403845,Education
Germany,2013,2284.188571068068,Education
Italy,2013,1480.556906213201,Education
Japan,2013,1482.8092262320195,Education
South Korea,2013,,Education
Mexico,2013,503.65997113936334,Education
United Kingdom,2013,2427.782205911388,Education
United States,2013,2618.7282742291422,Education
Brazil,2013,718.1973846834256,Education
India,2013,55.73256362991229,Education
Indonesia,2013,121.72863961581444,Education
Russia,2013,601.2599150427428,Education
South Africa,2013,410.87252812105766,Education
Turkey,2013,,Education
China,2013,,Education
Argentina,2013,711.1224368036902,Education
Saudi Arabia,2013,,Education
Australia,2014,3234.108300633241,Education
Canada,2014,,Education
France,2014,2370.6624488683224,Education
Germany,2014,2360.044125011141,Education
Italy,2014,1447.4642191739813,Education
Japan,2014,1368.3527403722712,Education
South Korea,2014,,Education
Mexico,2014,574.5846989017859,Education
United Kingdom,2014,2686.204283731975,Education
United States,2014,2730.5922901658278,Education
Brazil,2014,720.5150115936078,Education
India,2014,,Education
Indonesia,2014,114.80497228587923,Education
Russia,2014,564.7736826112633,Education
South Africa,2014,388.9903885061008,Education
Turkey,2014,,Education
China,2014,,Education
Argentina,2014,661.3228070476001,Education
Saudi Arabia,2014,,Education
Australia,2015,3020.3976202309723,Education
Canada,2015,,Education
France,2015,2000.642693900644,Education
Germany,2015,1976.8291676992094,Education
Italy,2015,1233.9041239513938,Education
Japan,2015,,Education
South Korea,2015,,Education
Mexico,2015,502.89465986213577,Education
United Kingdom,2015,2522.324024785707,Education
United States,2015,,Education
Brazil,2015,550.0870899875671,Education
India,2015,,Education
Indonesia,2015,119.39462659218194,Education
Russia,2015,357.03473162223366,Education
South Africa,2015,341.56567475626656,Education
Turkey,2015,,Education
China,2015,,Education
Argentina,2015,796.4712981012981,Education
Saudi Arabia,2015,,Education
Australia,2016,2638.630651391125,Education
Canada,2016,,Education
France,2016,2008.0059919107214,Education
Germany,2016,2021.1397013371586,Education
Italy,2016,1184.6772686275826,Education
Japan,2016,,Education
South Korea,2016,,Education
Mexico,2016,429.12639157995767,Education
United Kingdom,2016,2253.727236384327,Education
United States,2016,,Education
Brazil,2016,,Education
India,2016,,Education
Indonesia,2016,,Education
Russia,2016,327.35775589789336,Education
South Africa,2016,313.24246464910493,Education
Turkey,2016,,Education
China,2016,,Education
Argentina,2016,712.6953330456465,Education
Saudi Arabia,2016,,Education
